ID,Name,BP,N,m_edges,n1,n2,n3,n4,DRSO,mDRSO,SO,SDD,M1,M2,Randic,ABC,GA,R_equal,R_2,R_3,R_4,R_3_2,R_4_3,m12,m13,m14,m22,m23,m24,m33,m34,m44,WL_hash,sig_DRSO,sig_SDD,sig_SO
61,"2,3,5-trimethylhexane",404.45,9,8,5,1,3,0,19.789474726534156,3.5819950704695884,27.265131538889158,23.0,36.0,36.0,4.036581260209188,6.163363133678392,7.289718813148735,1,0,5,0,2,0,0,5,0,0,2,0,1,0,0,37d3ccd9e4cfb475d34a38b90e24ae21,"(1, 0, 5, 0, 2, 0)",23/1,"(0, 3, 0, 5, 2, 0)"
62,"2,4,4-trimethylhexane",399.65,9,8,5,2,1,1,21.87866793509149,3.2260368949886926,29.35665773453502,24.833333333333336,38.0,38.0,3.9771623912162095,6.193471094170519,7.140273829428339,0,3,2,2,1,0,1,2,2,0,1,2,0,0,0,f27646939246dcb3dcd6a326d1d37e38,"(0, 3, 2, 2, 1, 0)",149/6,"(0, 0, 5, 2, 1, 2)"
63,"3,3,4-trimethylhexane",413.65,9,8,5,2,1,1,20.390002868269498,3.5484239696075646,28.958312096866848,23.583333333333332,38.0,41.0,4.04204064721467,6.022471737610697,7.263991744254687,0,3,1,2,1,1,2,1,2,0,1,1,0,1,0,8eac9160a66de1c00faa1c502eaa5c5a,"(0, 3, 1, 2, 1, 1)",283/12,"(5, 0, 4, 1, 1, 2)"
64,2-methyl-3-ethylhexane,411.15,9,8,4,3,2,0,16.271408776387496,4.265360617127849,25.078861638129794,20.0,34.0,35.0,4.218744015013407,5.835193734454857,7.577260684959547,2,2,2,0,2,0,2,2,0,1,2,0,1,0,0,32074786aac636122acc5d98810117a1,"(2, 2, 2, 0, 2, 0)",20/1,"(0, 5, 2, 2, 2, 0)"
65,2-methyl-4-ethylhexane,406.95,9,8,4,3,2,0,16.72593425224001,4.069562452915097,25.218896377192294,20.333333333333332,34.0,34.0,4.201907262607799,5.875633848974738,7.536852479186089,0,2,2,0,4,0,2,2,0,0,4,0,0,0,0,6ccaa8284e1de7ceafa52d8c3cdd93b3,"(0, 2, 2, 0, 4, 0)",61/3,"(0, 0, 2, 2, 4, 0)"
66,3-methyl-3-ethylhexane,413.75,9,8,4,4,0,1,17.791335324696426,3.867047426243265,27.07614454786196,21.25,36.0,38.0,4.181980515339464,5.815772872090272,7.456854249492381,1,6,0,1,0,0,3,0,1,1,0,3,0,0,0,caed7e40d2179a194448374f3867cba5,"(1, 6, 0, 1, 0, 0)",85/4,"(0, 2, 9, 0, 0, 1)"
67,3-methyl-4-ethylhexane,413.55,9,8,4,3,2,0,15.54176261441011,4.321238206869599,24.929776106179002,19.333333333333332,34.0,36.0,4.256748817474191,5.725803934713679,7.633840219870442,1,3,1,0,3,0,3,1,0,0,3,0,1,0,0,e1d426a21388f89f5d2e9599dd240fea,"(1, 3, 1, 0, 3, 0)",58/3,"(0, 3, 3, 1, 3, 0)"
68,"2,2,3,3-tetramethylpentane",413.42,9,8,6,1,0,2,25.576343615342505,2.92481500443549,32.98058631008006,28.25,42.0,46.0,3.8106601717798214,6.356713016991082,6.885618083164127,1,2,0,5,0,0,1,0,5,0,0,1,0,0,1,3267224f7e90f646752a2682b8f2d54c,"(1, 2, 0, 5, 0, 0)",113/4,"(0, 4, 3, 0, 0, 5)"
69,"2,2,3,4-tetramethylpentane",406.15,9,8,6,0,2,1,24.022810002812047,3.1032116025657444,31.098790544477403,26.83333333333333,40.0,42.0,3.8540592754970233,6.3597298451710635,6.987819529964102,1,0,3,3,0,1,0,3,3,0,0,0,1,1,0,322395a49cb1c935b8b231c6d220eefb,"(1, 0, 3, 3, 0, 1)",161/6,"(5, 3, 0, 3, 0, 3)"
70,"2,2,4,4-tetramethylpentane",395.85,9,8,6,1,0,2,28.16993493843976,2.4672213678696644,33.68290566370513,30.5,42.0,40.0,3.7071067811865475,6.610365985079726,6.685618083164126,0,2,0,6,0,0,0,0,6,0,0,2,0,0,0,9a33b0277f672769081f2bde617b7dc6,"(0, 2, 0, 6, 0, 0)",61/2,"(0, 0, 4, 0, 0, 6)"
